OCCUPATION,ENTRY-LEVEL EDUCATION ,ON-THE-JOB TRAINING ,PROJECTED NUMBER OF NEW JOBS ,PROJECTED GROWTH RATE ,2021 MEDIAN PAY 
Mental health and substance abuse social workers,Master’s degree,Internship/residency,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
Merchandise displayers and window trimmers,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",Slower than average,"$30,000 to $39,999"
"Metal workers and plastic workers, all other",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Metal-refining furnace operators and tenders,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
"Meter readers, utilities",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Microbiologists,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"Middle school teachers, except special and career/technical education",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"Milling and planing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Millwrights,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Mining and geological engineers, including mining safety engineers",Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
Miscellaneous assemblers and fabricators,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Miscellaneous construction and related workers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"Miscellaneous entertainers and performers, sports and related workers",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"$80,000 or more"
"Miscellaneous first-line supervisors, protective service workers",High school diploma or equivalent,None,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
"Mixing and blending machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
"Mobile heavy equipment mechanics, except engines",High school diploma or equivalent,Long-term on-the-job training,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
"Model makers, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Model makers, wood",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Much faster than average,"$60,000 to $79,999"
Models,No formal educational credential,None,0 to 999,Faster than average,The annual wage is not available.
"Molders, shapers, and casters, except metal and plastic",High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Faster than average,"$30,000 to $39,999"
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Morticians, undertakers, and funeral arrangers",Associate’s degree,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Motion picture projectionists,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
"Motor vehicle operators, all other",No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
Motorboat mechanics and service technicians,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Motorboat operators,Postsecondary nondegree award,None,0 to 999,Faster than average,"$30,000 to $39,999"
Motorcycle mechanics,Postsecondary nondegree award,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"Multiple machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
Museum technicians and conservators,Bachelor’s degree,None,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
Music directors and composers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Musical instrument repairers and tuners,High school diploma or equivalent,Apprenticeship,Declining,Decline,"$30,000 to $39,999"
Musicians and singers,No formal educational credential,Long-term on-the-job training,"10,000 to 49,999",Faster than average,The annual wage is not available.
Natural sciences managers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Network and computer systems administrators,Bachelor’s degree,None,"10,000 to 49,999",Slower than average,"$80,000 or more"
New accounts clerks,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"News analysts, reporters, and journalists",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Nuclear engineers,Bachelor’s degree,None,Declining,Decline,"$80,000 or more"
Nuclear medicine technologists,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Nuclear power reactor operators,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$80,000 or more"
Nuclear technicians,Associate’s degree,Moderate-term on-the-job training,Declining,Decline,"$80,000 or more"
Nurse anesthetists,Master’s degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
Nurse midwives,Master’s degree,None,0 to 999,Faster than average,"$80,000 or more"
Nurse practitioners,Master’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
Nursing assistants,Postsecondary nondegree award,None,"50,000 or more",As fast as average,"$30,000 to $39,999"
"Nursing instructors and teachers, postsecondary",Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
Obstetricians and gynecologists,Doctoral or professional degree,Internship/residency,Declining,Decline,"$80,000 or more"
Occupational health and safety specialists,Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
Occupational health and safety technicians,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Occupational therapists,Master’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Occupational therapy aides,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
Occupational therapy assistants,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"Office and administrative support workers, all other",High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
"Office clerks, general",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Office machine operators, except computer",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Operating engineers and other construction equipment operators,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
Operations research analysts,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Ophthalmic laboratory technicians,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$30,000 to $39,999"
Ophthalmic medical technicians,Postsecondary nondegree award,None,"5,000 to 9,999",Faster than average,"$30,000 to $39,999"
"Opticians, dispensing",High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Optometrists,Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Oral and maxillofacial surgeons,Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
Order clerks,"Some college, no degree",Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Orderlies,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"Less than $30,000"
Orthodontists,Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
Orthotists and prosthetists,Master’s degree,Internship/residency,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
Outdoor power equipment and other small engine mechanics,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Packaging and filling machine operators and tenders,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$30,000 to $39,999"
"Packers and packagers, hand",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Little or no change,"Less than $30,000"
"Painters, construction and maintenance",No formal educational credential,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
"Painting, coating, and decorating workers",No formal educational credential,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
"Paper goods machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Paperhangers,No formal educational credential,Long-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
Paralegals and legal assistants,Associate’s degree,None,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
Parking attendants,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"Less than $30,000"
Parking enforcement workers,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Parts salespersons,No formal educational credential,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$30,000 to $39,999"
Passenger attendants,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
"Passenger vehicle drivers, except bus drivers, transit and intercity",No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"Patternmakers, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Patternmakers, wood",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Much faster than average,"$40,000 to $59,999"
"Paving, surfacing, and tamping equipment operators",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Payroll and timekeeping clerks,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Pediatricians, general",Doctoral or professional degree,Internship/residency,Declining,Decline,"$80,000 or more"
Personal financial advisors,Bachelor’s degree,Long-term on-the-job training,"10,000 to 49,999",Slower than average,"$80,000 or more"
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,The annual wage is not available.
Pest control workers,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
"Pesticide handlers, sprayers, and applicators, vegetation",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Petroleum engineers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"Petroleum pump system operators, refinery operators, and gaugers",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Pharmacists,Doctoral or professional degree,None,Declining,Decline,"$80,000 or more"
Pharmacy aides,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
Pharmacy technicians,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$30,000 to $39,999"
"Philosophy and religion teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
Phlebotomists,Postsecondary nondegree award,None,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
Photographers,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
Photographic process workers and processing machine operators,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Physical scientists, all other",Bachelor’s degree,None,0 to 999,Little or no change,"$80,000 or more"
Physical therapist aides,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
Physical therapist assistants,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
Physical therapists,Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Physician assistants,Master’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
"Physicians, all other; and ophthalmologists, except pediatric",Doctoral or professional degree,Internship/residency,"10,000 to 49,999",Slower than average,"$80,000 or more"
Physicists,Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"Physics teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Pile driver operators,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
Pipelayers,No formal educational credential,Short-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
"Plant and system operators, all other",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
Plasterers and stucco masons,No formal educational credential,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Plating machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Plumbers, pipefitters, and steamfitters",High school diploma or equivalent,Apprenticeship,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
Podiatrists,Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
Police and sheriff’s patrol officers,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"Political science teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Political scientists,Master’s degree,None,0 to 999,As fast as average,"$80,000 or more"
Postal service clerks,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Postal service mail carriers,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Postal service mail sorters, processors, and processing machine operators",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Postmasters and mail superintendents,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$80,000 or more"
"Postsecondary teachers, all other",Doctoral or professional degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"Pourers and casters, metal",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Power distributors and dispatchers,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$80,000 or more"
Power plant operators,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$80,000 or more"
"Precision instrument and equipment repairers, all other",High school diploma or equivalent,Long-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
Prepress technicians and workers,Postsecondary nondegree award,None,Declining,Decline,"$40,000 to $59,999"
"Preschool teachers, except special education",Associate’s degree,None,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"Pressers, textile, garment, and related materials",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
Print binding and finishing workers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Printing press operators,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Private detectives and investigators,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Probation officers and correctional treatment specialists,Bachelor’s degree,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Procurement clerks,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Producers and directors,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"Production workers, all other",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,The annual wage is not available.
"Production, planning, and expediting clerks",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"Project management specialists and business operations specialists, all other",Bachelor’s degree,None,"50,000 or more",As fast as average,The annual wage is not available.
Proofreaders and copy markers,Bachelor’s degree,None,0 to 999,Slower than average,"$40,000 to $59,999"
Property appraisers and assessors,Bachelor’s degree,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"Property, real estate, and community association managers",High school diploma or equivalent,None,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
Prosthodontists,Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
Psychiatric aides,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Psychiatric technicians,Postsecondary nondegree award,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Psychiatrists,Doctoral or professional degree,Internship/residency,"1,000 to 4,999",Faster than average,"$80,000 or more"
"Psychologists, all other",Master’s degree,Internship/residency,"1,000 to 4,999",Slower than average,"$80,000 or more"
"Psychology teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Public relations and fundraising managers,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
Public relations specialists,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
Public safety telecommunicators,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
"Pump operators, except wellhead pumpers",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Purchasing managers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Radiation therapists,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"Radio, cellular, and tower equipment installers and repairers",Associate’s degree,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
Radiologic technologists and technicians,Associate’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
Rail car repairers,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"Rail transportation workers, all other",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
"Rail yard engineers, dinkey operators, and hostlers",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
Rail-track laying and maintenance equipment operators,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
"Railroad brake, signal, and switch operators and locomotive firers",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
Railroad conductors and yardmasters,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Real estate brokers,High school diploma or equivalent,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Real estate sales agents,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
Receptionists and information clerks,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Slower than average,"Less than $30,000"
"Recreation and fitness studies teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Recreation workers,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
Recreational therapists,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Recreational vehicle service technicians,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"Refractory materials repairers, except brickmasons",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Refuse and recyclable material collectors,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Registered nurses,Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
Rehabilitation counselors,Master’s degree,None,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
Reinforcing iron and rebar workers,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"Religious workers, all other",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
Reservation and transportation ticket agents and travel clerks,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Residential advisors,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Respiratory therapists,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
Retail salespersons,No formal educational credential,Short-term on-the-job training,Declining,Little or no change,"Less than $30,000"
Riggers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
"Rock splitters, quarry",No formal educational credential,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
"Rolling machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Roof bolters, mining",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Roofers,No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
"Rotary drill operators, oil and gas",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"Roustabouts, oil and gas",No formal educational credential,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
Sailors and marine oilers,No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Sales and related workers, all other",High school diploma or equivalent,None,"1,000 to 4,999",Slower than average,"Less than $30,000"
Sales engineers,Bachelor’s degree,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$80,000 or more"
Sales managers,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Sales representatives of services, except advertising, insurance, financial services, and travel",High school diploma or equivalent,Moderate-term on-the-job training,"50,000 or more",As fast as average,"$60,000 to $79,999"
"Sales representatives, wholesale and manufacturing, except technical and scientific products",High school diploma or equivalent,Moderate-term on-the-job training,"50,000 or more",Slower than average,"$60,000 to $79,999"
"Sales representatives, wholesale and manufacturing, technical and scientific products",Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Sawing machine setters, operators, and tenders, wood",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"School bus monitors and protective service workers, all other",High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
"Secondary school teachers, except special and career/technical education",Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
"Secretaries and administrative assistants, except legal, medical, and executive",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Securities, commodities, and financial services sales agents",Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$60,000 to $79,999"
Security and fire alarm systems installers,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
Security guards,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Faster than average,"$30,000 to $39,999"
Self-enrichment teachers,High school diploma or equivalent,None,"50,000 or more",Much faster than average,"$40,000 to $59,999"
Semiconductor processing technicians,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Septic tank servicers and sewer pipe cleaners,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
"Service unit operators, oil and gas",No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
Set and exhibit designers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Sewers, hand",No formal educational credential,Moderate-term on-the-job training,Declining,Decline,"Less than $30,000"
Sewing machine operators,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
Shampooers,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Sheet metal workers,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Ship engineers,Postsecondary nondegree award,None,0 to 999,As fast as average,"$80,000 or more"
"Shipping, receiving, and inventory clerks",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Shoe and leather workers and repairers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Shoe machine operators and tenders,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
Signal and track switch repairers,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$80,000 or more"
Skincare specialists,Postsecondary nondegree award,None,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
Slaughterers and meat packers,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"Less than $30,000"
Social and community service managers,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
Social and human service assistants,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"$30,000 to $39,999"
Social science research assistants,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Social sciences teachers, postsecondary, all other",Doctoral or professional degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
"Social scientists and related workers, all other",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
"Social work teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Social workers, all other",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Sociologists,Master’s degree,None,0 to 999,Slower than average,"$80,000 or more"
"Sociology teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Software developers and software quality assurance analysts and testers,Bachelor’s degree,None,"50,000 or more",Much faster than average,The annual wage is not available.
Soil and plant scientists,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Solar photovoltaic installers,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
Sound engineering technicians,Postsecondary nondegree award,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
"Special education teachers, all other",Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"Special education teachers, kindergarten and elementary school",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"Special education teachers, middle school",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
"Special education teachers, preschool",Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"Special education teachers, secondary school",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
Special effects artists and animators,Bachelor’s degree,None,"5,000 to 9,999",Much faster than average,"$60,000 to $79,999"
Speech-language pathologists,Master’s degree,Internship/residency,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
Stationary engineers and boiler operators,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Statistical assistants,Bachelor’s degree,None,0 to 999,As fast as average,"$40,000 to $59,999"
Statisticians,Master’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Stockers and order fillers,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Slower than average,"$30,000 to $39,999"
Stonemasons,High school diploma or equivalent,Apprenticeship,Declining,Little or no change,"$40,000 to $59,999"
Structural iron and steel workers,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Structural metal fabricators and fitters,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
